CHARSET,SERVER,WHOIS_COUNTRY,WHOIS_STATEPRO,URL_LENGTH,NUMBER_SPECIAL_CHARACTERS,CONTENT_LENGTH,TCP_CONVERSATION_EXCHANGE,DIST_REMOTE_TCP_PORT,REMOTE_IPS,APP_BYTES,SOURCE_APP_PACKETS,REMOTE_APP_PACKETS,SOURCE_APP_BYTES,REMOTE_APP_BYTES,APP_PACKETS,DNS_QUERY_TIMES,WHOIS_REGDATE_YEAR,WHOIS_REGDATE_MONTH,WHOIS_REGDATE_DAY,WHOIS_REGDATE_HOUR,WHOIS_REGDATE_MINUTE,WHOIS_UPDATED_DATE_YEAR,WHOIS_UPDATED_DATE_MONTH,WHOIS_UPDATED_DATE_DAY,WHOIS_UPDATED_DATE_HOUR,WHOIS_UPDATED_DATE_MINUTE,Type
ISO-8859-1,NGINX,,,20,6,3692.0,25,19,4,3946,35,29,16408,4746,35,10.0,2002,11,14,0,0,2015,4,19,0,0,0
ISO-8859-1,OTHER,,,20,7,13054.0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,,,,,0
ISO-8859-1,OTHER,OTHER,,21,7,957.0,7,0,1,717,11,10,1960,1011,11,4.0,2000,7,16,0,0,2015,4,7,0,0,1
ISO-8859-1,NGINX,OTHER,OTHER,21,7,686.0,6,0,2,603,8,9,1580,745,8,2.0,2013,5,25,0,0,2016,5,23,0,0,1
US-ASCII,MICROSOFT-HTTPAPI/2.0,,,21,6,324.0,7,7,3,618,7,9,562,618,7,0.0,1999,9,8,0,0,2015,10,2,0,0,0
UTF-8,NGINX,,,21,6,15025.0,13,1,5,1099,15,17,15476,1243,15,2.0,,,,,,,,,,,0
US-ASCII,MICROSOFT-HTTPAPI/2.0,US,OTHER,22,7,324.0,9,0,4,850,11,9,1354,994,11,2.0,2013,9,15,0,0,2017,2,25,0,0,1
UTF-8,OTHER,US,CA,22,6,,39,29,6,3833,43,42,22495,4125,43,4.0,1999,3,7,0,0,2015,7,8,0,0,0
ISO-8859-1,NGINX,US,OTHER,22,6,318.0,8,6,6,696,8,10,636,696,8,0.0,2003,2,11,0,0,2015,6,29,0,0,0
ISO-8859-1,OTHER,,,22,6,224.0,4,3,2,420,4,6,372,420,4,0.0,2008,12,8,22,10,2016,7,13,17,36,0
UTF-8,OTHER,AU,OTHER,22,7,4421.0,12,0,2,2259,16,12,5165,2559,16,4.0,2009,5,21,0,0,2016,5,15,0,0,0
UTF-8,OTHER,US,FL,22,6,,6,0,3,650,10,10,1417,950,10,4.0,2002,1,8,0,0,2016,3,22,0,0,0
ISO-8859-1,APACHE,US,OTHER,22,6,441.0,0,0,0,0,0,0,0,0,0,0.0,2005,1,13,0,0,2017,2,3,0,0,0
ISO-8859-1,OTHER,US,OTHER,22,6,,0,0,0,0,0,0,0,0,0,0.0,2005,5,18,19,41,2016,5,19,10,14,0
UTF-8,NGINX,CA,OTHER,22,6,6671.0,0,0,0,0,0,0,0,0,0,0.0,2001,4,1,0,0,2017,3,3,0,0,0
UTF-8,APACHE,US,FL,23,6,,16,3,11,1696,18,20,13422,1844,18,2.0,2008,2,28,10,58,2017,2,14,20,27,0
ISO-8859-1,OTHER,PA,OTHER,23,6,434.0,0,0,0,0,0,0,0,0,0,0.0,2006,8,12,0,0,2015,12,14,0,0,0
US-ASCII,MICROSOFT-HTTPAPI/2.0,OTHER,,23,6,324.0,0,0,0,0,0,0,0,0,0,0.0,2000,6,16,0,0,2016,5,18,0,0,0
UTF-8,NGINX,,,23,6,13001.0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,,,,,0
ISO-8859-1,OTHER,,,23,7,3257.0,0,0,0,0,0,0,0,0,0,0.0,2000,10,13,0,0,2017,4,27,0,0,0
ISO-8859-1,,US,OTHER,23,6,6748.0,7,4,5,630,7,4,244,630,7,0.0,1999,12,31,0,0,2017,9,4,0,0,0
UTF-8,NGINX,,,23,7,,24,5,8,1740,24,11,696,1740,24,0.0,,,,,,,,,,,0
,,US,OTHER,23,6,,19,7,6,2404,23,20,6179,2684,23,4.0,1996,7,30,0,0,2016,4,7,0,0,0
UTF-8,,OTHER,,23,6,,19,14,6,1980,23,25,5737,2276,23,4.0,2008,9,5,0,0,2015,11,27,0,0,0
UTF-8,,US,OTHER,23,6,,4,0,1,519,8,8,1138,823,8,4.0,1999,4,23,0,0,2016,7,25,0,0,0
UTF-8,CLOUDFLARE-NGINX,US,OTHER,23,6,,10,0,5,1186,14,15,1900,1476,14,4.0,1997,4,2,0,0,2014,8,11,0,0,0
ISO-8859-1,OTHER,OTHER,OTHER,23,6,,43,4,4,5738,47,50,56926,6046,47,4.0,2003,2,13,0,0,2017,2,14,0,0,0
ISO-8859-1,APACHE,US,CA,23,6,240.0,8,0,2,723,10,11,1837,871,10,2.0,2008,5,17,0,0,2016,5,18,0,0,0
ISO-8859-1,APACHE,CA,OTHER,23,6,3985.0,40,17,16,3285,46,45,12003,3729,46,6.0,2002,5,30,0,0,2016,5,31,0,0,0
US-ASCII,MICROSOFT-HTTPAPI/2.0,,,23,6,324.0,0,0,0,0,0,0,0,0,0,0.0,2005,10,20,0,0,2016,9,30,0,0,0
ISO-8859-1,OTHER,,,24,8,6173.0,2,0,1,132,2,5,318,132,2,0.0,,,,,,,,,,,1
ISO-8859-1,APACHE,OTHER,OTHER,24,9,319.0,7,0,2,720,9,10,1269,868,9,2.0,,,,,,,,,,,1
UTF-8,OTHER,OTHER,,24,6,,84,54,5,10490,96,106,106925,11482,96,12.0,2006,7,1,0,0,2016,12,14,0,0,0
ISO-8859-1,,US,OTHER,24,6,34.0,65,3,5,6286,69,75,90508,6596,69,4.0,1996,5,3,5,0,2016,5,27,14,46,0
UTF-8,NGINX,US,NY,24,7,,14,6,6,1907,18,18,5601,2171,18,4.0,1995,3,23,0,0,2017,3,3,0,0,0
UTF-8,OTHER,,,24,6,1778.0,7,7,3,618,7,9,562,618,7,0.0,1998,10,1,0,0,2012,11,11,0,0,0
UTF-8,OTHER,,,24,6,,6,3,2,528,6,4,244,528,6,0.0,2016,4,27,0,0,2017,4,29,0,0,0
US-ASCII,MICROSOFT-HTTPAPI/2.0,CA,OTHER,24,6,324.0,6,4,4,564,6,8,508,564,6,0.0,2011,7,4,0,0,2017,8,4,0,0,0
ISO-8859-1,OTHER,US,OTHER,24,8,224.0,19,2,4,2131,23,23,9471,2441,23,4.0,2009,2,26,0,0,2017,6,1,0,0,0
UTF-8,OTHER,CA,OTHER,24,6,,12,2,7,984,16,16,1839,1292,16,4.0,2002,3,7,0,0,2016,2,7,0,0,0
ISO-8859-1,APACHE,,,24,7,318.0,21,1,8,1606,25,13,1276,1914,25,4.0,,,,,,,,,,,0
UTF-8,OTHER,,,24,7,,16,6,8,2279,22,22,2562,2729,22,6.0,1995,2,21,0,0,2017,2,19,0,0,0
ISO-8859-1,OTHER,US,OTHER,24,6,345.0,19,5,9,1390,21,25,3890,1540,21,2.0,2007,4,7,0,0,2016,5,7,0,0,0
UTF-8,APACHE,PA,OTHER,24,6,756.0,23,3,15,2485,27,28,9332,2799,27,4.0,1998,2,7,0,0,2017,6,2,0,0,0
UTF-8,OTHER,CA,OTHER,25,6,,0,0,0,0,0,0,0,0,0,0.0,2005,10,3,0,0,2017,4,1,0,0,0
UTF-8,NGINX,US,NY,25,7,,0,0,0,0,0,0,0,0,0,0.0,1995,3,23,0,0,2017,3,3,0,0,0
UTF-8,NGINX,US,NY,25,6,14839.0,0,0,0,0,0,0,0,0,0,0.0,2004,12,15,0,0,2016,11,13,0,0,0
US-ASCII,MICROSOFT-IIS/7.5,US,OTHER,25,6,324.0,5,2,4,474,5,4,250,474,5,0.0,2008,2,25,0,0,2017,2,26,0,0,0
UTF-8,OTHER,,,25,6,,6,5,2,564,6,7,442,564,6,0.0,2005,1,27,0,0,2013,11,15,0,0,0
UTF-8,APACHE,US,OTHER,25,6,,12,0,5,1327,16,17,14050,1615,16,4.0,2006,9,14,0,0,2016,9,9,0,0,0
UTF-8,NGINX,,,25,6,658.0,11,3,4,1232,15,16,9806,1530,15,4.0,,,,,,,,,,,0
UTF-8,,OTHER,OTHER,25,6,,18,7,9,1586,22,17,1735,1898,22,4.0,2010,4,30,14,12,2017,12,3,1,47,0
ISO-8859-1,APACHE,US,CA,25,6,,36,17,9,4737,42,35,10343,5173,42,6.0,1997,4,22,0,0,2017,2,22,0,0,0
UTF-8,APACHE,OTHER,OTHER,25,6,195.0,0,0,0,0,0,0,0,0,0,0.0,2016,7,16,0,0,2016,12,22,0,0,0
US-ASCII,MICROSOFT-HTTPAPI/2.0,US,OTHER,25,6,324.0,0,0,0,0,0,0,0,0,0,0.0,2016,11,27,19,9,2017,1,2,0,1,0
ISO-8859-1,APACHE,US,OTHER,25,6,,0,0,0,0,0,0,0,0,0,0.0,2009,10,30,0,0,2016,10,27,0,0,0
UTF-8,NGINX,,,26,8,,12,0,2,1052,14,14,11935,1204,14,2.0,2009,12,3,21,0,,,,,,1
UTF-8,NGINX,,,26,8,,9,1,2,878,11,12,2242,1018,11,2.0,2000,9,3,17,50,,,,,,1
ISO-8859-1,OTHER,US,OTHER,26,7,4166.0,24,0,3,2508,30,30,21098,2992,30,6.0,2008,5,30,0,0,2016,5,30,0,0,1
ISO-8859-1,OTHER,OTHER,OTHER,26,7,962.0,9,0,4,842,11,12,2101,994,11,2.0,2000,9,25,0,0,2016,7,18,0,0,1
ISO-8859-1,OTHER,OTHER,OTHER,26,7,962.0,7,0,2,722,11,10,2000,1016,11,4.0,2002,9,4,0,0,2017,10,4,0,0,1
ISO-8859-1,OTHER,OTHER,OTHER,26,7,962.0,7,0,2,722,11,9,1913,1036,11,4.0,2002,9,4,0,0,2017,10,4,0,0,1
UTF-8,NGINX,US,OTHER,26,6,2688.0,0,0,0,0,0,0,0,0,0,0.0,1997,11,1,0,0,2015,4,30,0,0,0
UTF-8,CLOUDFLARE-NGINX,US,OTHER,26,7,,0,0,0,0,0,0,0,0,0,0.0,2000,11,6,0,0,2017,3,3,0,0,0
UTF-8,NGINX,CA,OTHER,26,6,,0,0,0,0,0,0,0,0,0,0.0,2002,2,13,19,55,2017,2,23,17,46,0
ISO-8859-1,APACHE,PA,OTHER,26,6,199.0,0,0,0,0,0,0,0,0,0,0.0,2007,12,19,0,0,2016,11,21,0,0,0
UTF-8,OTHER,,,26,6,3548.0,13,0,1,1378,19,19,6226,1856,19,6.0,1997,6,11,0,0,2016,6,11,0,0,0
UTF-8,NGINX,US,NY,26,7,,26,19,5,2727,30,19,5765,2991,30,4.0,1995,3,23,0,0,2017,3,3,0,0,0
,OTHER,US,CA,26,6,0.0,43,39,3,6325,53,50,32025,7063,53,10.0,2000,1,21,0,0,2016,8,11,0,0,0
ISO-8859-1,OTHER,US,OTHER,26,6,5426.0,9,7,4,702,9,10,696,702,9,0.0,2009,4,27,0,0,2017,2,27,0,0,0
UTF-8,OTHER,,,26,7,,11,9,7,882,11,9,562,882,11,0.0,2000,11,10,0,0,2016,12,12,0,0,0
UTF-8,,CA,OTHER,26,6,,4,3,2,396,4,6,482,396,4,0.0,1998,4,8,0,0,2017,10,4,0,0,0
ISO-8859-1,OTHER,US,FL,26,6,345.0,43,0,2,3252,47,47,60076,3564,47,4.0,2000,5,31,0,0,2014,2,4,0,0,0
UTF-8,NGINX,US,NY,26,7,,46,12,11,3783,50,18,5605,4047,50,4.0,1995,3,23,0,0,2017,3,3,0,0,0
UTF-8,NGINX,US,NY,26,7,,21,8,9,2373,25,27,6199,2637,25,4.0,1995,3,23,0,0,2017,3,3,0,0,0
UTF-8,CLOUDFLARE-NGINX,US,OTHER,26,6,,7,0,2,984,11,12,1650,1300,11,4.0,1999,10,23,0,0,2016,8,13,0,0,0
ISO-8859-1,OTHER,US,OTHER,26,6,,0,0,0,0,0,0,0,0,0,0.0,2010,6,23,0,0,2015,4,23,0,0,0
US-ASCII,,US,OTHER,26,6,324.0,0,0,0,0,0,0,0,0,0,0.0,2000,9,3,0,0,2014,2,13,0,0,0
UTF-8,CLOUDFLARE-NGINX,US,OTHER,26,6,,0,0,0,0,0,0,0,0,0,0.0,1994,4,13,0,0,2017,3,13,0,0,0
UTF-8,NGINX,US,OTHER,26,6,,0,0,0,0,0,0,0,0,0,0.0,2010,9,6,0,0,2016,6,21,0,0,0
UTF-8,OTHER,US,OTHER,26,6,,0,0,0,0,0,0,0,0,0,0.0,2009,4,29,0,0,2017,8,3,0,0,0
UTF-8,OTHER,OTHER,OTHER,27,7,8756.0,38,0,3,4207,44,45,39662,4679,44,6.0,2000,6,16,0,0,2016,2,16,0,0,1
UTF-8,APACHE,US,OTHER,27,7,193.0,9,0,1,1838,11,13,4524,1992,11,2.0,2015,1,19,0,0,2017,3,3,0,0,1
UTF-8,NGINX,US,WA,27,8,,0,0,0,0,0,0,0,0,0,0.0,2015,11,11,0,0,2017,3,13,0,0,0
US-ASCII,MICROSOFT-HTTPAPI/2.0,US,OTHER,27,6,324.0,0,0,0,0,0,0,0,0,0,0.0,2017,3,22,0,0,2017,3,23,0,0,0
UTF-8,OTHER,US,OTHER,27,6,,3,3,1,366,3,5,306,366,3,0.0,2009,3,11,0,0,2017,4,3,0,0,0
UTF-8,OTHER,AU,OTHER,27,6,,40,13,14,3781,46,44,34101,4253,46,6.0,2010,7,19,20,3,2016,9,20,13,11,0
UTF-8,OTHER,,,27,6,7967.0,6,0,4,631,8,11,812,787,8,2.0,1997,4,28,0,0,2017,4,24,0,0,0
ISO-8859-1,APACHE,US,FL,27,7,11506.0,0,0,0,0,0,0,0,0,0,0.0,1996,4,3,0,0,2015,7,1,0,0,0
UTF-8,OTHER,OTHER,OTHER,28,9,,5,0,1,592,7,9,1062,732,7,2.0,2007,10,24,0,0,2016,10,22,0,0,1
US-ASCII,MICROSOFT-HTTPAPI/2.0,US,FL,28,7,324.0,5,0,2,556,9,9,1154,860,9,4.0,2004,10,21,0,0,2014,10,14,0,0,1
UTF-8,NGINX,OTHER,OTHER,28,8,39036.0,0,0,0,0,0,0,0,0,0,0.0,2002,3,20,23,59,2017,7,3,22,2,0
ISO-8859-1,,US,CA,28,6,,0,0,0,0,0,0,0,0,0,0.0,1997,3,29,0,0,2016,11,29,0,0,0
ISO-8859-1,APACHE,OTHER,,28,7,,0,0,0,0,0,0,0,0,0,0.0,2008,10,6,0,0,2016,9,6,0,0,0
ISO-8859-1,CLOUDFLARE-NGINX,OTHER,OTHER,28,7,,0,0,0,0,0,0,0,0,0,0.0,1999,11,30,0,0,2017,6,3,0,0,0
US-ASCII,,US,OTHER,28,7,,6,4,3,552,6,8,612,552,6,0.0,2004,8,30,0,0,2016,8,18,0,0,0
ISO-8859-1,CLOUDFLARE-NGINX,OTHER,OTHER,28,7,,8,4,6,696,8,10,634,696,8,0.0,1999,11,30,0,0,2017,6,3,0,0,0
US-ASCII,MICROSOFT-IIS/7.5,US,OTHER,28,6,324.0,5,3,3,474,5,6,364,474,5,0.0,1996,11,11,0,0,2015,4,27,0,0,0
UTF-8,APACHE,CA,OTHER,28,7,8578.0,21,7,5,2830,29,25,6137,3400,29,8.0,1995,2,10,4,0,2016,9,30,9,12,0
UTF-8,APACHE,OTHER,OTHER,28,6,10576.0,14,9,2,2094,14,12,8019,2094,14,0.0,2011,6,28,0,0,2017,2,3,0,0,0
US-ASCII,MICROSOFT-IIS/7.5,,,28,7,324.0,17,1,7,1848,23,24,2167,2322,23,6.0,2016,8,16,0,0,2017,3,26,0,0,0
UTF-8,OTHER,US,OTHER,28,7,12846.0,17,12,3,2314,23,27,21419,2740,23,6.0,2000,9,5,17,31,2016,11,10,0,20,0
UTF-8,OTHER,US,CA,28,7,6666.0,66,5,11,6311,70,64,63634,6633,70,4.0,2000,7,31,0,0,2016,6,29,0,0,0
ISO-8859-1,OTHER,US,FL,28,6,445.0,28,5,8,2324,30,33,24662,2482,30,2.0,1999,5,14,0,0,2014,2,4,0,0,0
UTF-8,APACHE,US,OTHER,28,8,,6,0,3,632,8,8,593,776,8,2.0,2009,4,24,0,0,2017,3,18,0,0,0
US-ASCII,MICROSOFT-HTTPAPI/2.0,,,28,7,324.0,33,26,4,3590,39,48,30057,4064,39,6.0,,,,,,,,,,,0
UTF-8,OTHER,US,NY,28,6,,0,0,0,0,0,0,0,0,0,0.0,1998,6,8,0,0,2014,7,11,0,0,0
UTF-8,,US,CA,28,6,,26,19,3,2632,30,36,27404,2916,30,4.0,1996,2,22,0,0,2015,1,16,0,0,0
UTF-8,NGINX,US,OTHER,28,6,18438.0,0,0,0,0,0,0,0,0,0,0.0,2007,6,15,0,0,2015,12,5,0,0,0
ISO-8859-1,APACHE,US,OTHER,29,7,7314.0,34,0,2,2934,40,40,34995,3416,40,6.0,2009,9,21,0,0,2016,9,8,0,0,1
US-ASCII,MICROSOFT-HTTPAPI/2.0,OTHER,OTHER,29,7,324.0,5,0,2,593,7,8,1128,751,7,2.0,2002,9,4,0,0,2017,4,18,0,0,1
ISO-8859-1,APACHE,US,CA,29,6,,0,0,0,0,0,0,0,0,0,0.0,1997,4,22,0,0,2017,2,22,0,0,0
,OTHER,US,CA,29,6,0.0,0,0,0,0,0,0,0,0,0,0.0,2000,1,21,0,0,2016,8,11,0,0,0
ISO-8859-1,APACHE,US,CA,29,8,9136.0,0,0,0,0,0,0,0,0,0,0.0,1995,1,20,0,0,2016,11,22,0,0,0
UTF-8,APACHE,US,OTHER,29,6,5019.0,0,0,0,0,0,0,0,0,0,0.0,2006,3,28,0,0,2017,2,24,0,0,0
UTF-8,NGINX,US,NY,29,7,,0,0,0,0,0,0,0,0,0,0.0,1995,3,23,0,0,2017,3,3,0,0,0
ISO-8859-1,OTHER,US,OTHER,29,6,210.0,0,0,0,0,0,0,0,0,0,0.0,2007,9,28,16,6,2017,3,28,18,24,0
UTF-8,OTHER,OTHER,OTHER,29,6,8654.0,0,0,0,0,0,0,0,0,0,0.0,2017,4,2,0,0,2017,4,2,0,0,0
ISO-8859-1,OTHER,CA,OTHER,29,7,238.0,0,0,0,0,0,0,0,0,0,0.0,1996,7,3,0,0,2017,9,3,0,0,0
ISO-8859-1,APACHE,,,29,6,26856.0,26,6,5,2519,30,30,22379,2851,30,4.0,2003,4,4,0,0,2017,5,4,0,0,0
US-ASCII,MICROSOFT-HTTPAPI/2.0,US,OTHER,29,6,324.0,12,8,6,900,12,9,568,900,12,0.0,2015,8,26,0,0,2016,8,26,0,0,0
UTF-8,OTHER,CA,OTHER,29,7,,709,708,3,2362906,709,837,83056,2362906,709,0.0,2004,7,22,0,0,2016,6,23,0,0,0
UTF-8,APACHE,US,CA,29,6,10210.0,5,4,2,486,5,7,542,486,5,0.0,2004,11,30,0,0,2017,7,3,0,0,0
ISO-8859-1,APACHE,US,OTHER,29,6,13684.0,15,8,7,1134,15,9,605,1134,15,0.0,2008,5,3,0,0,2016,4,14,0,0,0
US-ASCII,,CA,OTHER,29,6,324.0,3,3,1,366,3,5,306,366,3,0.0,2003,8,5,0,0,2016,9,5,0,0,0
ISO-8859-1,OTHER,US,OTHER,29,6,770.0,5,3,3,486,5,7,436,486,5,0.0,2010,2,11,21,52,2015,10,20,23,34,0
UTF-8,OTHER,US,OTHER,29,8,6813.0,17,9,10,1249,17,15,1062,1249,17,0.0,2006,5,23,0,0,2016,7,13,0,0,0
US-ASCII,MICROSOFT-HTTPAPI/2.0,,,29,6,324.0,34,9,6,2861,38,26,15260,3229,38,4.0,1998,2,7,0,0,2016,5,7,0,0,0
ISO-8859-1,,US,OTHER,29,6,34.0,10,2,9,612,12,14,918,772,12,2.0,1998,2,12,0,0,2016,2,12,0,0,0
ISO-8859-1,APACHE,US,CA,29,7,,32,21,8,4561,38,36,10429,4997,38,6.0,1997,4,22,0,0,2017,2,22,0,0,0
UTF-8,OTHER,US,CA,29,8,20404.0,33,6,5,3533,37,35,46688,3859,37,4.0,2000,7,31,0,0,2016,6,29,0,0,0
UTF-8,OTHER,OTHER,OTHER,29,8,,28,0,5,3183,36,33,24455,3777,36,8.0,1999,4,15,0,0,2012,6,20,0,0,0
UTF-8,OTHER,US,OTHER,29,6,7159.0,21,6,11,1515,23,18,1334,1675,23,2.0,2003,5,30,0,0,2015,10,7,0,0,0
UTF-8,OTHER,US,OTHER,29,6,,24,1,3,2195,29,30,55576,2515,29,4.0,2002,10,1,0,57,2014,2,26,23,35,0
ISO-8859-1,APACHE,US,OTHER,29,6,388.0,0,0,0,0,0,0,0,0,0,0.0,2006,3,17,0,0,2013,8,14,0,0,0
ISO-8859-1,OTHER,,,29,6,199.0,0,0,0,0,0,0,0,0,0,0.0,1999,1,3,0,0,2013,7,3,0,0,0
US-ASCII,MICROSOFT-HTTPAPI/2.0,AU,OTHER,29,8,324.0,0,0,0,0,0,0,0,0,0,0.0,2015,1,7,0,0,2016,4,3,0,0,0
ISO-8859-1,OTHER,CA,OTHER,29,6,,0,0,0,0,0,0,0,0,0,0.0,2006,1,22,0,0,2017,1,22,0,0,0
UTF-8,,US,CA,29,6,,0,0,0,0,0,0,0,0,0,0.0,1996,2,22,0,0,2015,1,16,0,0,0
ISO-8859-1,APACHE,,,30,8,177.0,7,0,2,666,9,9,1094,826,9,2.0,,,,,,,,,,,1
UTF-8,OTHER,OTHER,,30,6,,0,0,0,0,0,0,0,0,0,0.0,1996,6,3,5,0,2013,10,28,10,54,0
ISO-8859-1,OTHER,US,OTHER,30,6,199.0,0,0,0,0,0,0,0,0,0,0.0,2013,8,2,0,0,2017,3,15,0,0,0
UTF-8,NGINX,US,NY,30,7,,14,9,3,1918,18,17,5546,2182,18,4.0,1995,3,23,0,0,2017,3,3,0,0,0
ISO-8859-1,,US,CA,30,6,,62,52,12,8974,76,69,30726,10006,76,14.0,1997,3,29,0,0,2016,11,29,0,0,0
ISO-8859-1,APACHE,US,CA,30,6,,22,17,2,3914,28,27,9833,4350,28,6.0,1997,4,22,0,0,2017,2,22,0,0,0
ISO-8859-1,OTHER,,,30,6,,18,17,5,1188,18,19,1451,1188,18,0.0,2003,4,15,0,0,2016,2,19,0,0,0
,OTHER,US,OTHER,30,6,,6,4,4,552,6,9,564,552,6,0.0,1996,10,24,0,0,2016,10,19,0,0,0
UTF-8,APACHE,US,OTHER,30,6,14703.0,2,2,1,276,2,4,250,276,2,0.0,1998,4,8,0,0,2013,4,9,0,0,0
UTF-8,NGINX,US,FL,30,6,8751.0,15,2,6,1528,19,17,5586,1860,19,4.0,2016,4,30,0,0,2016,4,10,0,0,0
US-ASCII,MICROSOFT-HTTPAPI/2.0,US,OTHER,30,6,324.0,90,6,14,8646,92,100,95659,8808,92,2.0,1999,12,30,0,0,2016,8,1,0,0,0
ISO-8859-1,APACHE,US,CA,30,7,,31,26,2,4412,37,37,27412,4848,37,6.0,1997,4,22,0,0,2017,2,22,0,0,0
UTF-8,,US,CA,30,6,,31,23,3,3605,39,41,34388,4183,39,8.0,1996,2,22,0,0,2015,1,16,0,0,0
ISO-8859-1,,US,CA,30,6,,76,47,12,9007,88,44,23985,9891,88,12.0,1997,3,29,0,0,2016,11,29,0,0,0
UTF-8,OTHER,US,OTHER,30,7,350.0,23,1,10,1902,27,26,2764,2194,27,4.0,2001,7,13,0,0,2015,4,26,0,0,0
ISO-8859-1,OTHER,US,OTHER,30,7,,48,3,6,3418,52,48,57377,3706,52,4.0,1996,5,29,0,0,2017,3,21,0,0,0
UTF-8,CLOUDFLARE-NGINX,US,CA,30,8,,0,0,0,0,0,0,0,0,0,0.0,2004,2,25,0,0,2016,1,16,0,0,0
UTF-8,,US,CA,30,6,,0,0,0,0,0,0,0,0,0,0.0,1996,2,22,0,0,2015,1,16,0,0,0
ISO-8859-1,APACHE,US,CA,30,7,,0,0,0,0,0,0,0,0,0,0.0,1997,4,22,0,0,2017,2,22,0,0,0
US-ASCII,MICROSOFT-IIS/7.5,US,CA,31,7,324.0,7,0,2,707,11,11,1018,1031,11,4.0,2002,9,4,0,0,2017,3,20,0,0,1
UTF-8,OTHER,US,CA,31,8,604.0,0,0,0,0,0,0,0,0,0,0.0,1995,1,18,0,0,2015,8,26,0,0,0
ISO-8859-1,OTHER,,,31,7,287.0,0,0,0,0,0,0,0,0,0,0.0,2014,10,25,0,0,2016,10,26,0,0,0
ISO-8859-1,APACHE,US,CA,31,7,,0,0,0,0,0,0,0,0,0,0.0,1997,4,22,0,0,2017,2,22,0,0,0
UTF-8,APACHE,US,OTHER,31,8,65815.0,0,0,0,0,0,0,0,0,0,0.0,1996,5,20,0,0,2016,10,24,0,0,0
ISO-8859-1,,US,CA,31,6,,65,53,14,8568,77,70,26049,9452,77,12.0,1997,3,29,0,0,2016,11,29,0,0,0
UTF-8,OTHER,,,31,6,,9,3,7,738,9,12,766,738,9,0.0,2000,7,14,0,0,2017,3,22,0,0,0
UTF-8,OTHER,CA,OTHER,31,7,4075.0,4,3,2,432,4,6,372,432,4,0.0,1996,1,12,5,0,2016,11,30,10,30,0
ISO-8859-1,OTHER,OTHER,OTHER,31,8,287.0,5,0,1,593,9,9,955,929,9,4.0,2000,11,11,0,0,2012,3,5,0,0,0
